中心,帳號名稱,次數
12.0,ComputerWeekly,1
13.0,1DavidClarke,3
13.0,YuHelenYu,2
13.0,sbmeunier,1
13.0,sallyeaves,1
13.0,DrJDrooghaag,1
13.0,Grantham_IC,1
13.0,Ronald_vanLoon,1
13.0,UrsBolt,1
14.0,YouTube,2
14.0,YuHelenYu,2
14.0,sallyeaves,1
14.0,DrJDrooghaag,1
14.0,antgrasso,1
14.0,Ronald_vanLoon,1
14.0,ipfconline1,1
15.0,TheGovLab,1
16.0,business,2
16.0,sallyeaves,1
16.0,Ronald_vanLoon,1
16.0,innovateuk,1
16.0,UrsBolt,1
17.0,YouTube,2
17.0,OKFN,2
17.0,YuHelenYu,2
17.0,openuk_uk,1
17.0,sallyeaves,1
17.0,DrJDrooghaag,1
17.0,antgrasso,1
17.0,ComputerWeekly,1
18.0,YuHelenYu,2
18.0,sallyeaves,1
18.0,antgrasso,1
18.0,Ronald_vanLoon,1
18.0,ipfconline1,1
19.0,YouTube,2
19.0,sarahdrinkwater,1
19.0,ipfconline1,1
20.0,YouTube,2
20.0,Ronald_vanLoon,1
20.0,ipfconline1,1
20.0,TheGovLab,1
21.0,olivierthereaux,3
21.0,TomOrrell86,1
24.0,YouTube,2
24.0,womensbrainpro,1
26.0,olivierthereaux,3
26.0,YouTube,2
26.0,YuHelenYu,2
26.0,DrJDrooghaag,1
26.0,Ronald_vanLoon,1
27.0,sallyeaves,1
27.0,UrsBolt,1
28.0,olivierthereaux,3
28.0,YouTube,2
28.0,OKFN,2
28.0,instituteforgov,1
28.0,TomOrrell86,1
28.0,sallyeaves,1
28.0,TheGovLab,1
29.0,sarahdrinkwater,1
29.0,sallyeaves,1
29.0,CH_Events,1
29.0,innovateuk,1
29.0,SukiFuller,1
29.0,ComputerWeekly,1
29.0,TheIET,1
30.0,smithsonian,1
30.0,Ronald_vanLoon,1
