Screen Name,value,group
Taiwan_SciTech,1,Aid Transparency
apa_tw,1,Aid Transparency
aboutfish,1,Aid Transparency
TaiwanSPCA,1,Aid Transparency
FormosaFdtn,1,Aid Transparency
syperng,1,Aid Transparency
tungchenying,1,Aid Transparency
hcyang28,1,Aid Transparency
Hello_Taitung,1,Aid Transparency
HiNetNotify,1,Aid Transparency
YLT1031,1,Aid Transparency
liya_alexia,1,Aid Transparency
_ytmeng,1,Aid Transparency
WWCodeTaipei,1,Aid Transparency
andreasinica,1,Aid Transparency
katharintai,1,Aid Transparency
timktchan,1,Aid Transparency
taiansu,1,Aid Transparency
PeoPo_PTS,1,Aid Transparency
leemausheng,1,Aid Transparency
mario_ste,1,Aid Transparency
PLinTaiwan,1,Aid Transparency
coscup,1,Aid Transparency
LucieWassink,1,Aid Transparency
plustw,1,Aid Transparency
tsaitingi,1,Aid Transparency
MkhoDlamini,1,Aid Transparency
AmChamTaipei,1,Aid Transparency
Chao_Deng,1,Aid Transparency
ICRTNews,1,Aid Transparency
alicemuwu,1,Aid Transparency
Muyueh,1,Aid Transparency
TWCERTCC,1,Aid Transparency
DefenseTaiwan,1,Aid Transparency
taiwan_security,1,Aid Transparency
mytrawnsley,1,Aid Transparency
chiahua,1,Aid Transparency
NGOnewsTW,1,Aid Transparency
tcitaal,1,Aid Transparency
islandfolklore,1,Aid Transparency
TaiwanPDIS,1,Aid Transparency
TaiwanLawBlog,1,Aid Transparency
wcc0728,1,Aid Transparency
TFDemocracy,1,Aid Transparency
JMichaelCole1,1,Aid Transparency
LuLume1995,1,Aid Transparency
MPWangTingyu,1,Aid Transparency
UoNARI_Taiwan,1,Aid Transparency
ywhuang,1,Aid Transparency
MargaretKLewis,1,Aid Transparency
ksnews_tw,1,Aid Transparency
SOASTaiwan,1,Aid Transparency
Ian_M_Easton,1,Aid Transparency
TaiwanBirding,1,Aid Transparency
RSF_eastasia,1,Aid Transparency
KaohsiungMICE,1,Aid Transparency
irvinfly,1,Aid Transparency
twbf1988,1,Aid Transparency
cwlf,1,Aid Transparency
audreyt,15,Data Ethics
paulmozur,7,Data Ethics
OliverSTChang,2,Data Ethics
nnimar,2,Data Ethics
FangJuiChang,2,Data Ethics
ccjanetang,1,Data Ethics
augama,1,Data Ethics
NextGenTaiwan,1,Data Ethics
scheeinfo,1,Data Ethics
eikologyy,1,Data Ethics
arabellesicardi,1,Data Ethics
asilver360,1,Data Ethics
AMFChina,1,Data Ethics
devpoga,1,Data Ethics
samboocha,1,Data Ethics
ginnyliu,1,Data Ethics
phoebe_kongwy,1,Data Ethics
syperng,1,Data Ethics
WilliamYang120,1,Data Ethics
cantstopdrawing,1,Data Ethics
dspencer47,1,Data Ethics
clkao,1,Data Ethics
katharintai,1,Data Ethics
itstheelliekoep,1,Data Ethics
TTCATz,1,Data Ethics
RobinCRLee,1,Data Ethics
Ian_M_Easton,1,Data Ethics
66illusions,1,Data Ethics
audreyt,30,Digit Government Transformation
FangJuiChang,6,Digit Government Transformation
scheeinfo,5,Digit Government Transformation
rwang0,5,Digit Government Transformation
clkao,4,Digit Government Transformation
ragtag,3,Digit Government Transformation
g0vtw,3,Digit Government Transformation
oktaiwanonline,3,Digit Government Transformation
Stiivi,3,Digit Government Transformation
fiobourgeois,3,Digit Government Transformation
dongpo,2,Digit Government Transformation
paulmozur,2,Digit Government Transformation
trc4identica,2,Digit Government Transformation
Mark45dominic,2,Digit Government Transformation
patriciamou_,1,Digit Government Transformation
taiwantfc,1,Digit Government Transformation
taipei_times,1,Digit Government Transformation
gloomcheng,1,Digit Government Transformation
Julienne_Chen,1,Digit Government Transformation
jeantruelson,1,Digit Government Transformation
nimisis,1,Digit Government Transformation
yamagishihitomi,1,Digit Government Transformation
NathanLands,1,Digit Government Transformation
chiliconsulting,1,Digit Government Transformation
htchien,1,Digit Government Transformation
_andrewang_,1,Digit Government Transformation
TaiwanChannel,1,Digit Government Transformation
JeromeTaylor,1,Digit Government Transformation
djaliceknows,1,Digit Government Transformation
samboocha,1,Digit Government Transformation
nicalexiac,1,Digit Government Transformation
TWturtletony,1,Digit Government Transformation
kerim,1,Digit Government Transformation
Chinghehuang,1,Digit Government Transformation
luomujie,1,Digit Government Transformation
jessleenyc,1,Digit Government Transformation
Qweaz,1,Digit Government Transformation
hsieh_alfred,1,Digit Government Transformation
ijasonwu,1,Digit Government Transformation
FurenLin,1,Digit Government Transformation
SwedishSuz,1,Digit Government Transformation
caroljyang,1,Digit Government Transformation
andreasinica,1,Digit Government Transformation
cpyang,1,Digit Government Transformation
shuyanglin,1,Digit Government Transformation
thepondbrighton,1,Digit Government Transformation
TTCATz,1,Digit Government Transformation
TheAllenChou,1,Digit Government Transformation
LauraMannering,1,Digit Government Transformation
TaiwanTechArena,1,Digit Government Transformation
scheeinfo,4,Environment
oktaiwanonline,4,Environment
dspim,2,Environment
clkao,2,Environment
andreasinica,2,Environment
ragtag,1,Environment
g0vtw,1,Environment
Stiivi,1,Environment
Silmaris,1,Environment
newbloommag,1,Environment
aliceBTCO,1,Environment
UKinTaiwan,1,Environment
liya_alexia,1,Environment
yjhsu,1,Environment
dongpo,1,Environment
Muyueh,1,Environment
CatherineShu,1,Environment
audreyt,1,Environment
ipa,1,Environment
trc4identica,1,Environment
AndriaCheng,1,Environment
JeromeTaylor,13,Journalism
audreyt,8,Journalism
tculpan,3,Journalism
heldavidson,3,Journalism
Scholars_Stage,3,Journalism
paulmozur,3,Journalism
rwang0,2,Journalism
atpittam,2,Journalism
UKinTaiwan,2,Journalism
kassy,2,Journalism
MOFA_Taiwan,2,Journalism
Wanyu_Shih,1,Journalism
SherryChanyy,1,Journalism
byamberphillips,1,Journalism
sehof,1,Journalism
jonlsullivan,1,Journalism
TaipeiUrbanism,1,Journalism
WomensRightsTW,1,Journalism
digidiploTaiwan,1,Journalism
ejclibrarian,1,Journalism
alphadesigner,1,Journalism
joshchin,1,Journalism
ZAbdoolcarim,1,Journalism
iingwen,1,Journalism
asilver360,1,Journalism
GraySergeant,1,Journalism
AMFChina,1,Journalism
neilledwith,1,Journalism
kscholl1459,1,Journalism
a_burbie,1,Journalism
FangJuiChang,1,Journalism
clkao,1,Journalism
hildahoy,1,Journalism
jimryan68,1,Journalism
lucalfier,1,Journalism
BBCCindySui,1,Journalism
M_Sobol,1,Journalism
UrtelePetrulyte,1,Journalism
wcc0728,1,Journalism
longlostflaneur,1,Journalism
scottiestar,1,Journalism
AndriaCheng,1,Journalism
DavidPeterGreen,1,Journalism
